"tahun,""bulan"",""jenis"",""kode_trayek"",""trayek"",""jumlah_penumpang"""
"2021,1,""Mikrotrans"",""JAK.15"",""Bulak Turi - Tanjung Priok"",118715.0"
"2021,1,""Mikrotrans"",""JAK.14"",""Tanah Abang - Meruya"",74084.0"
"2021,1,""Mikrotrans"",""JAK.13"",""Tanah Abang - Kota Intan via Jembatan Lima"",14490.0"
"2021,1,""Mikrotrans"",""JAK.12"",""Tanah Abang - Kebayoran Lama via Pos Pengumben"",65016.0"
"2021,1,""Mikrotrans"",""JAK.117"",""Tanjung Priok - Tanah Merdeka"",67367.0"
"2021,1,""Mikrotrans"",""JAK.112"",""Terminal Tanah Merah - Pulo Gadung"",52710.0"
"2021,1,""Mikrotrans"",""JAK.11"",""Tanah Abang - Kebayoran Lama "",72135.0"
"2021,1,""Mikrotrans"",""JAK.10"",""Tanah Abang - Kota "",48001.0"
"2021,1,""Mikrotrans"",""JAK.09"",""Roxy Mas - Karet"",19924.0"
"2021,1,""Mikrotrans"",""JAK.08"",""Roxy - Benhil"",22289.0"
"2021,1,""Mikrotrans"",""JAK.07"",""Tanah Abang - Grogol via Tawakal"",41856.0"
"2021,1,""Mikrotrans"",""JAK.06"",""Kampung Rambutan - Pondok Gede"",73456.0"
"2021,1,""Mikrotrans"",""JAK.05"",""Semper - Rorotan"",68172.0"
"2021,1,""Mikrotrans"",""JAK.04"",""Grogol - Tubagus Angke"",45679.0"
"2021,1,""Mikrotrans"",""JAK.03"",""Lebak Bulus - Andara"",31712.0"
"2021,1,""Mikrotrans"",""JAK.02"",""Kampung Melayu - Duren Sawit"",44415.0"
"2021,1,""Mikrotrans"",""JAK.01"",""Ttanjung Priok - Plumpang"",56172.0"
"2021,1,""BRT"",""9"",""Pinang Ranti - Pluit"",622613.0"
"2021,1,""BRT"",""8"",""Lebak Bulus - Harmoni"",419996.0"
"2021,1,""BRT"",""7"",""Kampung Rambutan - Kampung Melayu"",377657.0"
"2021,1,""BRT"",""6"",""Ragunan - Dukuh Atas 2"",320411.0"
"2021,1,""BRT"",""5"",""Kampung Melayu - Ancol"",400573.0"
"2021,1,""BRT"",""4"",""Pulo Gadung 2 - Tosari"",249575.0"
"2021,1,""BRT"",""3"",""Kalideres - Pasar Baru"",444971.0"
"2021,1,""BRT"",""2"",""Pulo Gadung 1 - Harmoni"",323751.0"
"2021,1,""BRT"",""13"",""Ciledug - Tendean"",266290.0"
"2021,1,""BRT"",""12"",""Penjaringan - Sunter Bouleverd Barat"",137793.0"
"2021,1,""BRT"",""11"",""Pulo Gebang - Kampung Melayu"",134632.0"
"2021,1,""BRT"",""10"",""Tanjung Priok - PGC 2"",356211.0"
"2021,1,""BRT"",""1"",""Blok M - Kota"",773717.0"
"2021,1,""Angkutan Umum Integrasi"",""GR5"",""Kota Tua Explorer"",261.0"
"2021,1,""Angkutan Umum Integrasi"",""GR4"",""Taman Kota Intan - Museum Bahari"",76.0"
"2021,1,""Angkutan Umum Integrasi"",""9E"",""Kebayoran Lama - Jelambar"",15039.0"
"2021,1,""Angkutan Umum Integrasi"",""9D"",""Pasar Minggu - Tanah Abang"",75918.0"
"2021,1,""Angkutan Umum Integrasi"",""8K"",""Batu Sari-Tanah Abang"",6867.0"
"2021,1,""Angkutan Umum Integrasi"",""8E"",""Bintaro - Blok M"",21336.0"
"2021,1,""Angkutan Umum Integrasi"",""8D"",""Joglo - Blok M"",38523.0"
"2021,1,""Angkutan Umum Integrasi"",""8C"",""Kebayoran Lama - Tanah Abang"",13021.0"
"2021,1,""Angkutan Umum Integrasi"",""7P"",""Pondok Kelapa - BKN"",27248.0"
"2021,1,""Angkutan Umum Integrasi"",""7D"",""Pancoran - TMII"",17464.0"
"2021,1,""Angkutan Umum Integrasi"",""7B"",""Kampung Rambutan - Blok M"",87284.0"
"2021,1,""Angkutan Umum Integrasi"",""7A"",""Kampung Rambutan - Lebak Bulus"",47005.0"
"2021,1,""Angkutan Umum Integrasi"",""6R"",""Ragunan - Stasin MRT Fatmawati"",1780.0"
"2021,1,""Angkutan Umum Integrasi"",""6M"",""Stasiun Manggarai - Blok  M"",25781.0"
"2021,1,""Angkutan Umum Integrasi"",""6H"",""Senen - Lebak Bulus"",15742.0"
"2021,1,""Angkutan Umum Integrasi"",""6C"",""Stasin Tebet - Karet via Patra Kuningan"",94200.0"
"2021,1,""Angkutan Umum Integrasi"",""5M"",""Kampung Melayu - Tanah Abang via Cikini"",87492.0"
"2021,1,""Angkutan Umum Integrasi"",""5F"",""Kampung Melayu - Tanah Abang"",18094.0"
"2021,1,""Angkutan Umum Integrasi"",""5B"",""Stasiun Tebet - Bidara Cina"",8008.0"
"2021,1,""Angkutan Umum Integrasi"",""4F"",""Pinang Ranti - Pulo Gadung"",39562.0"
"2021,1,""Angkutan Umum Integrasi"",""4B"",""Stasiun Manggarai - UI"",31546.0"
"2021,1,""Angkutan Umum Integrasi"",""3E"",""Puri Kembangan - Sentraland Cengkareng"",24385.0"
"2021,1,""Angkutan Umum Integrasi"",""1R"",""Senen - Tanah Abang"",13518.0"
"2021,1,""Angkutan Umum Integrasi"",""1Q"",""Rempoa - Blok M"",29449.0"
"2021,1,""Angkutan Umum Integrasi"",""1P"",""Senen - Bundaran Senayan"",8793.0"
"2021,1,""Angkutan Umum Integrasi"",""1N"",""Tanah Abang - Blok M"",9987.0"
"2021,1,""Angkutan Umum Integrasi"",""1M"",""Meruya - Blok M"",29169.0"
"2021,1,""Angkutan Umum Integrasi"",""1H"",""Tanah Abang - Stasiun Gondangdia"",45597.0"
"2021,1,""Angkutan Umum Integrasi"",""1F"",""Stasiun Palmerah - Bundaran Senayan"",6090.0"
"2021,1,""Angkutan Umum Integrasi"",""1E"",""Pondok  Labu - Blok M"",76707.0"
"2021,1,""Angkutan Umum Integrasi"",""1C"",""Pesanggrahan - Blok M"",18502.0"
"2021,1,""Angkutan Umum Integrasi"",""1B"",""Stasiun Palmerah - Tosari"",24996.0"
"2021,1,""Angkutan Umum Integrasi"",""1A"",""Pantai Maju - Balai Kota"",62721.0"
"2021,1,""Angkutan Umum Integrasi"",""12B"",""Pluit - Senen"",9506.0"
"2021,1,""Angkutan Umum Integrasi"",""11Q"",""Kampung Melayu - Pulo Gebang via BKT"",9436.0"
"2021,1,""Angkutan Umum Integrasi"",""11D"",""Pulo Gebang - Pulo Gadung 2 via PIK"",61434.0"
"2021,1,""Angkutan Umum Integrasi"",""10K"",""Tanjung Priok - Senen via Taman  BMW"",41881.0"
"2021,1,""MRT"","""","""",423968.0"
"2021,2,""MRT"","""","""",466828.0"
"2021,3,""MRT"","""","""",672087.0"
"2021,4,""MRT"","""","""",709483.0"
"2021,5,""MRT"","""","""",743577.0"
"2021,6,""MRT"","""","""",680571.0"
"2021,7,""MRT"","""","""",133579.0"
"2021,8,""MRT"","""","""",185662.0"
"2021,9,""MRT"","""","""",441859.0"
"2021,10,""MRT"","""","""",707584.0"
"2021,11,""MRT"","""","""",907123.0"
"2021,12,""MRT"","""","""",1098264.0"
"2021,2,""Mikrotrans"",""JAK.88"",""Terminal Tanjung Priok - Ancol Barat"",21344.0"
"2021,2,""Mikrotrans"",""JAK.85"",""Bintara - Cipinang Indah"",20729.0"
"2021,2,""Mikrotrans"",""JAK.84"",""Terminal Kampung Melayu - Kapin Raya"",31200.0"
"2021,2,""Mikrotrans"",""JAK.80"",""Rawa Buaya - Rawa Kompeni"",54914.0"
"2021,2,""Mikrotrans"",""JA.77"",""Tanjung Priok - Jembatan Item"",56920.0"
"2021,2,""Mikrotrans"",""JAK.75"",""Cililitan - Kp. Pulo"",43997.0"
"2021,2,""Mikrotrans"",""JAK.74"",""Terminal Rawamangun - Cipinang Muara"",35356.0"
"2021,2,""Mikrotrans"",""JAK.73"",""Jambore Cibubur - Pasar Rebo"",63940.0"
"2021,2,""Mikrotrans"",""JAK.72"",""Kampung Rambutan - Pasar Rebo via Poncol"",77250.0"
"2021,2,""Mikrotrans"",""JAK.71"",""Kampung Rambutan - Pinang Ranti"",57426.0"
"2021,2,""Mikrotrans"",""JAK.64"",""Lenteng Agung - Aseli"",37219.0"
"2021,2,""Mikrotrans"",""JAK.61"",""Cempaka Putih - Pulo Gadung via Kelapa Gading"",33443.0"
"2021,2,""Mikrotrans"",""JAK.60"",""Kelapa Gading - Rusun Kemayoran"",65846.0"
"2021,2,""Mikrotrans"",""JAK.59"",""Rawamangun - Tanah Merah"",87721.0"
"2021,2,""Mikrotrans"",""JAK.58"",""Cilingcing - Rorotan"",87437.0"
"2021,2,""Mikrotrans"",""JAK.56"",""Grogol - Srengseng"",46279.0"
"2021,2,""Mikrotrans"",""JAK.54"",""Grogol - Benhil"",26980.0"
"2021,2,""Mikrotrans"",""JAK.53"",""Grogol - Pos Pengumben via Slipi"",22227.0"
"2021,2,""Mikrotrans"",""JAK.52"",""Kalideres - Muara Angke"",43364.0"
"2021,2,""Mikrotrans"",""JAK.51"",""Taman Kota - Budi Luhur"",92464.0"
"2021,2,""Mikrotrans"",""JAK.50"",""Kalideres - Puri Kembangan"",51921.0"
"2021,2,""Mikrotrans"",""JAK.49"",""Lebak Bulus - Cipulir"",35460.0"
"2021,2,""Mikrotrans"",""JAK.47"",""Pasar Minggu - Ciganjur via KB Ragunan"",40570.0"
"2021,2,""Mikrotrans"",""JAK.46"",""Pasar Minggu - Jagakarsa"",57219.0"
"2021,2,""Mikrotrans"",""JAK.45"",""Lebak Bulus - Ragunan"",44618.0"
"2021,2,""Mikrotrans"",""JAK.44"",""Andara - Stasiun Universitas Pancasila"",52459.0"
"2021,2,""Mikrotrans"",""JAK.43"",""Tongtek - Cililitan"",77215.0"
"2021,2,""Mikrotrans"",""JAK.42"",""Kampung Melayu - Pondok Kelapa"",52244.0"
"2021,2,""Mikrotrans"",""JAK.41"",""Kampung Melayu - Ppulo Gadung"",22924.0"
"2021,2,""Mikrotrans"",""JAK.40"",""Harapan Baru - Pulo Gebang via Rawa Kuning"",39204.0"
"2021,2,""Mikrotrans"",""JAK.39"",""Kalimalang - Duren Sawit"",54632.0"
"2021,2,""Mikrotrans"",""JAK.38"",""Bulak Ringin - Kampung Rambutan"",40927.0"
"2021,2,""Mikrotrans"",""JAK.37"",""Cililitan - Condet via Kayu Manis"",48742.0"
"2021,2,""Mikrotrans"",""JAK.36"",""Cilangkap - Cililitan"",83344.0"
"2021,2,""Mikrotrans"",""JAK.35"",""Pangkalan  Jati - Rawamangun"",29146.0"
"2021,2,""Mikrotrans"",""JAK.34"",""Rawamangun - Klender"",68017.0"
"2021,2,""Mikrotrans"",""JAK.33"",""Pulo Gadung - Kota"",47276.0"
"2021,2,""Mikrotrans"",""JAK.32"",""Lebak Bulus - Petukangan"",78829.0"
"2021,2,""Mikrotrans"",""JAK.31"",""Blok M - Andara"",54602.0"
"2021,2,""Mikrotrans"",""JAK.30"",""Grogol - Meruya via Roxy"",124641.0"
"2021,2,""Mikrotrans"",""JAK.29"",""Tanjung Priok - Sukapura"",99914.0"
"2021,2,""Mikrotrans"",""JAK.28"",""Kp. Rambutan - Taman Wiladatika"",59697.0"
"2021,2,""Mikrotrans"",""JAK.27"",""Pulo Gebang - Rorotan"",43461.0"
"2021,2,""Mikrotrans"",""JAK.26"",""Rawamangun - Duren Sawit"",36157.0"
"2021,2,""Mikrotrans"",""JAK.25"",""Kp. Rambutan - Kalisari"",54166.0"
"2021,2,""Mikrotrans"",""JAK.24"",""Senen - Pulo Gadung via Kelapa Gading"",66373.0"
"2021,2,""Mikrotrans"",""JAK.22"",""Dwikora - Penas Kalimalang"",23633.0"
"2021,2,""Mikrotrans"",""JAK.21"",""Cililitan - Dwikora"",50183.0"
"2021,2,""Mikrotrans"",""JAK.20"",""Cawang UKI - Lubang Buaya"",56309.0"
"2021,2,""Mikrotrans"",""JAK,19"",""Pinang Ranti - Kampung Rambutan"",100915.0"
"2021,2,""Mikrotrans"",""JAK.18"",""Kalibata - Kuningan"",29065.0"
"2021,2,""Mikrotrans"",""JAK.17"",""Senen - Pulo Gadung "",31054.0"
"2021,2,""Mikrotrans"",""JAK.16"",""Cililitan - Condet via Kayu Manis"",55253.0"
"2021,2,""Mikrotrans"",""JAK.15"",""Bulak Turi - Tanjung Priok"",117930.0"
"2021,2,""Mikrotrans"",""JAK.14"",""Tanah Abang - Meruya"",73311.0"
"2021,2,""Mikrotrans"",""JAK.13"",""Tanah Abang - Kota Intan via Jembatan Lima"",13596.0"
"2021,2,""Mikrotrans"",""JAK.12"",""Tanah Abang - Kebayoran Lama via Pos Pengumben"",60234.0"
"2021,2,""Mikrotrans"",""JAK.117"",""Tanjung Priok - Tanah Merdeka"",69530.0"
"2021,2,""Mikrotrans"",""JAK.112"",""Terminal Tanah Merah - Pulo Gadung"",45547.0"
"2021,2,""Mikrotrans"",""JAK.11"",""Tanah Abang - Kebayoran Lama "",65085.0"
"2021,2,""Mikrotrans"",""JAK.10"",""Tanah Abang - Kota "",41754.0"
"2021,2,""Mikrotrans"",""JAK.09"",""Roxy Mas - Karet"",21417.0"
"2021,2,""Mikrotrans"",""JAK.08"",""Roxy - Benhil"",23941.0"
"2021,2,""Mikrotrans"",""JAK.07"",""Tanah Abang - Grogol via Tawakal"",40099.0"
"2021,2,""Mikrotrans"",""JAK.06"",""Kampung Rambutan - Pondok Gede"",68724.0"
"2021,2,""Mikrotrans"",""JAK.05"",""Semper - Rorotan"",65797.0"
"2021,2,""Mikrotrans"",""JAK.04"",""Grogol - Tubagus Angke"",45396.0"
"2021,2,""Mikrotrans"",""JAK.03"",""Lebak Bulus - Andara"",29697.0"
"2021,2,""Mikrotrans"",""JAK.02"",""Kampung Melayu - Duren Sawit"",43512.0"
"2021,2,""Mikrotrans"",""JAK.01"",""Tanjung Priok - Plumpang"",56501.0"
"2021,2,""BRT"",""9"",""Pinang Ranti - Pluit"",611856.0"
"2021,2,""BRT"",""8"",""Lebak Bulus - Harmoni"",414326.0"
"2021,2,""BRT"",""7"",""Kampung Rambutan - Kampung Melayu"",370317.0"
"2021,2,""BRT"",""6"",""Ragunan - Dukuh Atas 2"",316703.0"
"2021,2,""BRT"",""5"",""Kampung Melayu - Ancol"",397019.0"
"2021,2,""BRT"",""4"",""Pulo Gadung 2 - Tosari"",250418.0"
"2021,2,""BRT"",""3"",""Kalideres - Pasar Baru"",436078.0"
"2021,2,""BRT"",""2"",""Pulo Gadung 1 - Harmoni"",312708.0"
"2021,2,""BRT"",""13"",""Ciledug - Tendean"",265717.0"
"2021,2,""BRT"",""12"",""Penjaringan - Sunter Bouleverd Barat"",134609.0"
"2021,2,""BRT"",""11"",""Pulo Gebang - Kampung Melayu"",134665.0"
"2021,2,""BRT"",""10"",""Tanjung Priok - PGC 2"",349572.0"
"2021,2,""BRT"",""1"",""Blok M - Kota"",799708.0"
"2021,2,""Angkutan Umum Integrasi"",""9H"",""Cipedak - Blok M"",5936.0"
"2021,2,""Angkutan Umum Integrasi"",""9E"",""Kebayoran Lama - Jelambar"",11469.0"
"2021,2,""Angkutan Umum Integrasi"",""9D"",""Pasar Minggu - Tanah Abang"",59242.0"
"2021,2,""Angkutan Umum Integrasi"",""8K"",""Batu Sari-Tanah Abang"",6629.0"
"2021,2,""Angkutan Umum Integrasi"",""8E"",""Bintaro - Blok M"",15555.0"
"2021,2,""Angkutan Umum Integrasi"",""8D"",""Joglo - Blok M"",28516.0"
"2021,2,""Angkutan Umum Integrasi"",""8C"",""Kebayoran Lama - Tanah Abang"",11525.0"
"2021,2,""Angkutan Umum Integrasi"",""7P"",""Pondok Kelapa - BKN"",19590.0"
"2021,2,""Angkutan Umum Integrasi"",""7D"",""Pancoran - TMII"",17270.0"
"2021,2,""Angkutan Umum Integrasi"",""7B"",""Kampung Rambutan - Blok M"",68351.0"
"2021,2,""Angkutan Umum Integrasi"",""7A"",""Kampung Rambutan - Lebak Bulus"",36101.0"
"2021,2,""Angkutan Umum Integrasi"",""6R"",""Ragunan - Stasin MRT Fatmawati"",2497.0"
"2021,2,""Angkutan Umum Integrasi"",""6M"",""Stasiun Manggarai - Blok  M"",21277.0"
"2021,2,""Angkutan Umum Integrasi"",""6H"",""Senen - Lebak Bulus"",14490.0"
"2021,2,""Angkutan Umum Integrasi"",""6C"",""Stasin Tebet - Karet via Patra Kuningan"",71799.0"
"2021,2,""Angkutan Umum Integrasi"",""5M"",""Kampung Melayu - Tanah Abang via Cikini"",60005.0"
"2021,2,""Angkutan Umum Integrasi"",""5F"",""Kampung Melayu - Tanah Abang"",15393.0"
"2021,2,""Angkutan Umum Integrasi"",""5B"",""Stasiun Tebet - Bidara Cina"",6618.0"
"2021,2,""Angkutan Umum Integrasi"",""4F"",""Pinang Ranti - Pulo Gadung"",32019.0"
"2021,2,""Angkutan Umum Integrasi"",""4B"",""Stasiun Manggarai - UI"",28783.0"
"2021,2,""Angkutan Umum Integrasi"",""3E"",""Puri Kembangan - Sentraland Cengkareng"",17495.0"
"2021,2,""Angkutan Umum Integrasi"",""1R"",""Senen - Tanah Abang"",10560.0"
"2021,2,""Angkutan Umum Integrasi"",""1Q"",""Rempoa - Blok M"",21239.0"
"2021,2,""Angkutan Umum Integrasi"",""1P"",""Senen - Bundaran Senayan"",5649.0"
"2021,2,""Angkutan Umum Integrasi"",""1N"",""Tanah Abang - Blok M"",7434.0"
"2021,2,""Angkutan Umum Integrasi"",""1M"",""Meruya - Blok M"",19950.0"
"2021,2,""Angkutan Umum Integrasi"",""1H"",""Tanah Abang - Stasiun Gondangdia"",34160.0"
"2021,2,""Angkutan Umum Integrasi"",""1F"",""Stasiun Palmerah - Bundaran Senayan"",4965.0"
"2021,2,""Angkutan Umum Integrasi"",""1E"",""Pondok  Labu - Blok M"",57726.0"
"2021,2,""Angkutan Umum Integrasi"",""1C"",""Pesanggrahan - Blok M"",12977.0"
"2021,2,""Angkutan Umum Integrasi"",""1B"",""Stasiun Palmerah - Tosari"",17157.0"
"2021,2,""Angkutan Umum Integrasi"",""1A"",""Pantai Maju - Balai Kota"",50669.0"
"2021,2,""Angkutan Umum Integrasi"",""12B"",""Pluit - Senen"",9096.0"
"2021,2,""Angkutan Umum Integrasi"",""11Q"",""Kampung Melayu - Pulo Gebang via BKT"",8493.0"
"2021,2,""Angkutan Umum Integrasi"",""11D"",""Pulo Gebang - Pulo Gadung 2 via PIK"",47628.0"
"2021,2,""Angkutan Umum Integrasi"",""10K"",""Tanjung Priok - Senen via Taman  BMW"",31243.0"
"2021,3,""Mikrotrans"",""JAK.88"",""Terminal Tanjung Priok - Ancol Barat"",29550.0"
"2021,3,""Mikrotrans"",""JAK.85"",""Bintara - Cipinang Indah"",29905.0"
"2021,3,""Mikrotrans"",""JAK.84"",""Terminal Kampung Melayu - Kapin Raya"",38674.0"
"2021,3,""Mikrotrans"",""JAK.80"",""Rawa Buaya - Rawa Kompeni"",63082.0"
"2021,3,""Mikrotrans"",""JA.77"",""Tanjung Priok - Jembatan Item"",67739.0"
"2021,3,""Mikrotrans"",""JAK.75"",""Cililitan - Kp. Pulo"",53047.0"
"2021,3,""Mikrotrans"",""JAK.74"",""Terminal Rawamangun - Cipinang Muara"",42207.0"
"2021,3,""Mikrotrans"",""JAK.73"",""Jambore Cibubur - Pasar Rebo"",78340.0"
"2021,3,""Mikrotrans"",""JAK.72"",""Kampung Rambutan - Pasar Rebo via Poncol"",91806.0"
"2021,3,""Mikrotrans"",""JAK.71"",""Kampung Rambutan - Pinang Ranti"",68156.0"
"2021,3,""Mikrotrans"",""JAK.64"",""Lenteng Agung - Aseli"",46819.0"
"2021,3,""Mikrotrans"",""JAK.61"",""Cempaka Putih - Pulo Gadung via Kelapa Gading"",41360.0"
"2021,3,""Mikrotrans"",""JAK.60"",""Kelapa Gading - Rusun Kemayoran"",77402.0"
"2021,3,""Mikrotrans"",""JAK.59"",""Rawamangun - Tanah Merah"",100686.0"
"2021,3,""Mikrotrans"",""JAK.58"",""Cilingcing - Rorotan"",97206.0"
"2021,3,""Mikrotrans"",""JAK.56"",""Grogol - Srengseng"",53886.0"
"2021,3,""Mikrotrans"",""JAK.54"",""Grogol - Benhil"",32490.0"
"2021,3,""Mikrotrans"",""JAK.53"",""Grogol - Pos Pengumben via Slipi"",28325.0"
"2021,3,""Mikrotrans"",""JAK.52"",""Kalideres - Muara Angke"",59280.0"
"2021,3,""Mikrotrans"",""JAK.51"",""Taman Kota - Budi Luhur"",113243.0"
"2021,3,""Mikrotrans"",""JAK.50"",""Kalideres - Puri Kembangan"",67363.0"
"2021,3,""Mikrotrans"",""JAK.49"",""Lebak Bulus - Cipulir"",43954.0"
"2021,3,""Mikrotrans"",""JAK.47"",""Pasar Minggu - Ciganjur via KB Ragunan"",52411.0"
"2021,3,""Mikrotrans"",""JAK.46"",""Pasar Minggu - Jagakarsa"",77915.0"
"2021,3,""Mikrotrans"",""JAK.45"",""Lebak Bulus - Ragunan"",57681.0"
"2021,3,""Mikrotrans"",""JAK.44"",""Andara - Stasiun Universitas Pancasila"",65591.0"
"2021,3,""Mikrotrans"",""JAK.43"",""Tongtek - Cililitan"",89649.0"
"2021,3,""Mikrotrans"",""JAK.42"",""Kampung Melayu - Pondok Kelapa"",64890.0"
"2021,3,""Mikrotrans"",""JAK.41"",""Kampung Melayu - Ppulo Gadung"",29450.0"
"2021,3,""Mikrotrans"",""JAK.40"",""Harapan Baru - Pulo Gebang via Rawa Kuning"",46228.0"
"2021,3,""Mikrotrans"",""JAK.39"",""Kalimalang - Duren Sawit"",65972.0"
"2021,3,""Mikrotrans"",""JAK.38"",""Bulak Ringin - Kampung Rambutan"",50005.0"
"2021,3,""Mikrotrans"",""JAK.37"",""Cililitan - Condet via Kayu Manis"",62773.0"
"2021,3,""Mikrotrans"",""JAK.36"",""Cilangkap - Cililitan"",101015.0"
"2021,3,""Mikrotrans"",""JAK.35"",""Pangkalan  Jati - Rawamangun"",35034.0"
"2021,3,""Mikrotrans"",""JAK.34"",""Rawamangun - Klender"",80563.0"
"2021,3,""Mikrotrans"",""JAK.33"",""Pulo Gadung - Kota"",54740.0"
"2021,3,""Mikrotrans"",""JAK.32"",""Lebak Bulus - Petukangan"",94096.0"
"2021,3,""Mikrotrans"",""JAK.31"",""Blok M - Andara"",66327.0"
"2021,3,""Mikrotrans"",""JAK.30"",""Grogol - Meruya via Roxy"",148435.0"
"2021,3,""Mikrotrans"",""JAK.29"",""Tanjung Priok - Sukapura"",118492.0"
"2021,3,""Mikrotrans"",""JAK.28"",""Kp. Rambutan - Taman Wiladatika"",70303.0"
